Temps,Mags
0.05,1.0
0.1,1.0
0.15000000000000002,0.9999988099173553
0.2,0.9999519669421486
0.25,0.9996675371900826
0.3,0.9986906446280993
0.35000000000000003,0.9965424297520662
0.4,0.9926738512396694
0.45,0.9866651735537191
0.5,0.9779382479338843
0.55,0.9661282314049585
0.6000000000000001,0.9502990247933886
0.6500000000000001,0.9292179834710743
0.7000000000000001,0.9004266776859504
0.7500000000000001,0.858796958677686
0.8,0.7870046446280992
0.8500000000000001,0.4150978347107439
0.9000000000000001,0.12011087603305787
0.9500000000000001,0.050770115702479336
1.0,0.03734480991735537
1.05,0.03158710743801652
1.1,0.02806414876033058
1.1500000000000001,0.025403818181818177
1.2000000000000002,0.023455603305785125
1.2500000000000002,0.020703537190082645
1.3,0.019187884297520663
1.35,0.018106429752066118
1.4000000000000001,0.018336776859504134
1.4500000000000002,0.01697682644628099
1.5000000000000002,0.016446132231404956
1.55,0.016010446280991734
1.6,0.014977735537190083
1.6500000000000001,0.014787421487603305
1.7000000000000002,0.014924396694214874
1.7500000000000002,0.014391917355371903
1.8,0.014009338842975205
1.85,0.013773851239669423
1.9000000000000001,0.013324661157024796
1.9500000000000002,0.013049471074380165
2.0,0.013043685950413223
2.05,0.012900429752066117
2.1,0.012460628099173554
2.15,0.012351735537190083
2.1999999999999997,0.012518644628099172
2.25,0.012221603305785124
2.3,0.011971305785123967
2.35,0.01194285950413223
2.4,0.011879553719008265
2.45,0.011955388429752065
2.5,0.011785355371900829
2.55,0.01160409917355372
2.6,0.011365504132231405
2.65,0.011409603305785124
2.7,0.011174396694214876
2.75,0.011308347107438017
2.8,0.011246727272727273
2.85,0.011000760330578513
2.9,0.011055570247933884
2.95,0.011032760330578512
3.0,0.010752297520661156
3.05,0.010755851239669422
3.1,0.010775619834710745
3.15,0.010696462809917356
3.2,0.010559239669421487
3.25,0.01059700826446281
3.3,0.01072396694214876
3.35,0.010432115702479339
3.4,0.010435404958677685
3.45,0.010546793388429754
3.5,0.010510512396694215
