Temps,Mags
0.05,1.0
0.16896551724137931,1.0
0.28793103448275864,1.0
0.4068965517241379,0.999875
0.5258620689655172,0.998275
0.6448275862068966,0.995575
0.7637931034482759,0.985525
0.8827586206896553,0.967275
1.0017241379310344,0.9341375
1.120689655172414,0.8925625
1.2396551724137932,0.8473125
1.3586206896551725,0.7977375
1.4775862068965517,0.744775
1.596551724137931,0.691525
1.7155172413793105,0.6673875
1.8344827586206898,0.6035375
1.953448275862069,0.5717875
2.0724137931034483,0.560025
2.1913793103448276,0.521625
2.310344827586207,0.5111
2.429310344827586,0.4940625
2.5482758620689654,0.471575
2.6672413793103447,0.4615875
2.786206896551724,0.4568125
2.905172413793103,0.431625
3.0241379310344825,0.4293625
3.1431034482758617,0.40885
3.2620689655172415,0.40825
3.3810344827586207,0.4022875
3.5,0.3986625
