Temps,Mags
0.05,1.0
0.16896551724137931,1.0
0.28793103448275864,0.9999969421487603
0.4068965517241379,0.9998509917355372
0.5258620689655172,0.998507090909091
0.6448275862068966,0.9935855206611571
0.7637931034482759,0.9810554214876033
0.8827586206896553,0.9558142809917355
1.0017241379310344,0.9067729752066116
1.120689655172414,0.8206163305785124
1.2396551724137932,0.6783318347107438
1.3586206896551725,0.5042019173553719
1.4775862068965517,0.3618379504132231
1.596551724137931,0.2644630909090909
1.7155172413793105,0.2020844958677686
1.8344827586206898,0.1610813388429752
1.953448275862069,0.13217879338842978
2.0724137931034483,0.1126456694214876
2.1913793103448276,0.09645254545454546
2.310344827586207,0.0840520165289256
2.429310344827586,0.07441018181818183
2.5482758620689654,0.06687201652892562
2.6672413793103447,0.06058697520661157
2.786206896551724,0.05530355371900827
2.905172413793103,0.05055586776859504
3.0241379310344825,0.0470201652892562
3.1431034482758617,0.04302042975206612
3.2620689655172415,0.04009725619834711
3.3810344827586207,0.03837705785123967
3.5,0.035360512396694216
