Temps,Mags
0.05,1.0
0.16896551724137931,0.999975
0.28793103448275864,0.999025
0.4068965517241379,0.992125
0.5258620689655172,0.97945
0.6448275862068966,0.9376125
0.7637931034482759,0.87525
0.8827586206896553,0.7737125
1.0017241379310344,0.6864875
1.120689655172414,0.6126625
1.2396551724137932,0.54995
1.3586206896551725,0.5019625
1.4775862068965517,0.45705
1.596551724137931,0.429725
1.7155172413793105,0.4092
1.8344827586206898,0.3865375
1.953448275862069,0.370025
2.0724137931034483,0.3576375
2.1913793103448276,0.3541375
2.310344827586207,0.3367125
2.429310344827586,0.325325
2.5482758620689654,0.3253875
2.6672413793103447,0.3208875
2.786206896551724,0.3106875
2.905172413793103,0.3104125
3.0241379310344825,0.3052375
3.1431034482758617,0.29925
3.2620689655172415,0.289675
3.3810344827586207,0.2924125
3.5,0.2859375
